Mes;Habit;Aliment;Transp;Desp;Saude;Vest;Educ;Geral;Ano
jul;0.00470000;0.00630000;0.00530000;-0.00080000;0.00490000;-0.01800000;-0.00980000;0.00250000;2020
jun;0.00450000;0.00690000;0.00340000;0.00370000;0.00580000;-0.00860000;0.00030000;0.00390000;2020
mai;-0.00120000;0.00660000;-0.01230000;-0.00830000;0.00180000;-0.01220000;0.00030000;-0.00240000;2020
abr;-0.00510000;0.01260000;-0.01780000;-0.01570000;0.00440000;-0.00010000;0.00020000;-0.00300000;2020
mar;-0.00090000;0.00930000;-0.00250000;-0.00570000;0.00080000;0.00150000;0.00030000;0.00100000;2020
fev;0.00290000;0.00040000;0.00090000;-0.00120000;0.00180000;-0.00020000;0.00000000;0.00110000;2020
jan;-0.00220000;0.00600000;0.01080000;-0.00490000;0.00320000;-0.00010000;0.03070000;0.00290000;2020
dez;0.00230000;0.02960000;0.00690000;0.00360000;-0.00160000;0.00110000;0.00040000;0.00940000;2019
nov;-0.00060000;0.01620000;0.00280000;0.01720000;0.00430000;0.00060000;-0.00010000;0.00680000;2019
out;0.00080000;-0.00090000;0.00290000;0.00590000;0.00700000;-0.00100000;0.00040000;0.00160000;2019
set;0.00430000;-0.00990000;0.00160000;0.00090000;0.01010000;0.00190000;0.00040000;0.00000000;2019
ago;0.00890000;0.00170000;0.00270000;-0.00190000;0.00400000;-0.00410000;0.00040000;0.00330000;2019
jul;0.00540000;-0.00110000;-0.00140000;-0.00330000;0.00460000;0.00390000;0.00480000;0.00140000;2019
jun;0.00690000;-0.00510000;-0.00290000;0.00820000;0.00180000;-0.00210000;0.00020000;0.00150000;2019
mai;0.00070000;-0.01050000;0.00550000;0.00840000;0.00250000;0.00130000;0.00040000;-0.00020000;2019
abr;0.00070000;0.00230000;0.00580000;0.00250000;0.01270000;0.00180000;-0.00010000;0.00290000;2019
mar;0.00200000;0.01750000;0.00690000;-0.00840000;0.00480000;0.00050000;0.00090000;0.00510000;2019
fev;0.00410000;0.01640000;0.00220000;-0.00360000;0.00290000;0.00200000;0.00030000;0.00540000;2019
jan;0.00110000;0.01130000;0.01160000;-0.00230000;0.00260000;0.00090000;0.03310000;0.00580000;2019
dez;-0.00430000;0.00840000;-0.00770000;0.00770000;0.00270000;0.00200000;0.00050000;0.00090000;2018
nov;-0.00060000;0.00080000;-0.00510000;0.01140000;0.00920000;0.00250000;0.00060000;0.00150000;2018
out;0.00160000;0.01210000;0.00540000;0.00220000;0.00360000;0.00060000;0.00040000;0.00480000;2018
set;0.00230000;0.00080000;0.00970000;0.00950000;0.00570000;-0.00200000;0.00130000;0.00390000;2018
ago;0.01120000;-0.00490000;-0.00420000;0.01290000;0.00970000;0.00190000;0.00000000;0.00410000;2018
jul;0.01260000;-0.00590000;-0.00340000;-0.00140000;0.00840000;-0.00140000;0.00280000;0.00230000;2018
jun;0.00140000;0.03140000;0.01010000;0.00250000;0.00030000;0.00270000;-0.00010000;0.01010000;2018
mai;-0.00350000;0.00620000;0.00590000;0.00320000;0.00490000;-0.00100000;0.00050000;0.00190000;2018
abr;-0.00130000;-0.00100000;0.00050000;-0.00270000;0.00910000;0.00150000;0.00110000;-0.00030000;2018
mar;0.00110000;0.00040000;0.00100000;-0.00790000;0.00460000;0.00350000;0.00020000;0.00000000;2018
fev;-0.00440000;-0.00950000;0.00450000;-0.00840000;0.00290000;-0.00240000;0.00010000;-0.00420000;2018
jan;-0.00170000;0.01150000;0.01630000;-0.00790000;0.00310000;-0.00180000;0.03020000;0.00460000;2018
